Template,Query,Aligned length,RMSD,SeqID,TMScore
6XQI_A,g332,49,3.69,0.020,0.42135
6XQI_A,g333,50,3.11,0.020,0.46332
6XQI_A,g334,43,3.55,0.047,0.34595
6XQI_A,g335,56,4.21,0.036,0.41833
6XQI_A,g336,48,3.05,0.062,0.45764
6XQI_A,g337,43,3.81,0.093,0.40926
8AIL_CF,g006,38,2.96,0.105,0.41401
8AIL_CF,g014,27,2.32,0.074,0.34511
8AIL_CF,g045,25,2.76,0.080,0.32534
8AIL_CF,g047,29,3.36,0.069,0.28982
8AIL_CF,g048,39,3.13,0.077,0.39316
8AIL_CF,g049,42,3.44,0.119,0.44324
8AIL_CF,g055,37,3.69,0.054,0.35230
8AIL_CF,g056,36,2.66,0.167,0.44607
8AIL_CF,g057,33,4.06,0.030,0.34115
8AIL_CF,g059,41,4.32,0.098,0.39082
8AIL_CF,g060,46,3.46,0.000,0.43286
8AIL_CF,g061,44,3.73,0.091,0.47645
8AIL_CF,g062,27,2.81,0.037,0.34196
8AIL_CF,g064,41,4.04,0.098,0.31225
8AIL_CF,g065,44,2.99,0.068,0.47553
8AIL_CF,g067,19,2.72,0.053,0.26919
8AIL_CF,g068,44,3.45,0.068,0.41160
8AIL_CF,g069,39,3.20,0.154,0.40225
8AIL_CF,g070,47,3.18,0.064,0.43986
8AIL_CF,g071,35,3.08,0.143,0.37936
8AIL_CF,g072,34,3.40,0.118,0.37317
8AIL_CF,g076,28,2.56,0.036,0.36401
8AIL_CF,g077,38,4.06,0.105,0.31312
8AIL_CF,g078,35,3.89,0.114,0.33917
8AIL_CF,g079,34,3.29,0.118,0.31601
8AIL_CF,g082,35,3.71,0.086,0.32110
8AIL_CF,g084,27,3.40,0.148,0.33567
8AIL_CF,g085,38,4.02,0.053,0.33240
8AIL_CF,g086,36,3.74,0.000,0.39177
8AIL_CF,g087,43,3.63,0.116,0.43779
8AIL_CF,g089,36,4.34,0.000,0.32818
8AIL_CF,g092,36,3.63,0.111,0.32124
8AIL_CF,g093,36,3.23,0.028,0.39024
8AIL_CF,g094,32,2.42,0.156,0.40439
8AIL_CF,g095,35,2.77,0.029,0.38115
8AIL_CF,g096,52,2.92,0.000,0.57766
8AIL_CF,g097,37,3.18,0.054,0.37064
8AIL_CF,g098,31,3.40,0.065,0.37279
8AIL_CF,g100,42,3.02,0.048,0.42452
8AIL_CF,g101,29,2.85,0.069,0.29400
8AIL_CF,g102,36,3.11,0.111,0.37535
8AIL_CF,g103,44,4.02,0.045,0.39825
8AIL_CF,g106,18,2.34,0.000,0.26788
8AIL_CF,g107,31,2.78,0.065,0.42390
8AIL_CF,g112,39,3.44,0.103,0.41690
8AIL_CF,g117,21,3.30,0.095,0.28524
8AIL_CF,g119,50,3.66,0.000,0.40658
8AIL_CF,g121,40,2.71,0.075,0.42830
8AIL_CF,g122,44,3.45,0.091,0.42795
8AIL_CF,g124,30,3.95,0.133,0.32277
8AIL_CF,g128,39,3.25,0.154,0.41723
8AIL_CF,g130,41,2.70,0.122,0.49833
8AIL_CF,g131,26,2.97,0.192,0.33304
8AIL_CF,g132,35,3.35,0.057,0.37698
8AIL_CF,g133,36,3.48,0.056,0.34727
8AIL_CF,g134,41,2.83,0.195,0.43797
8AIL_CF,g135,46,3.08,0.065,0.48558
8AIL_CF,g142,42,3.48,0.048,0.38181
8AIL_CF,g143,40,3.44,0.050,0.38811
8AIL_CF,g144,41,3.08,0.049,0.44406
8AIL_CF,g145,44,3.19,0.114,0.49008
8AIL_CF,g146,31,2.77,0.161,0.37139
8AIL_CF,g147,36,3.33,0.111,0.37254
8AIL_CF,g149,50,2.88,0.080,0.51149
8AIL_CF,g150,38,3.19,0.079,0.36216
8AIL_CF,g151,40,3.75,0.050,0.33682
8AIL_CF,g153,31,3.17,0.161,0.36629
8AIL_CF,g154,36,3.90,0.056,0.33693
8AIL_CF,g155,34,3.84,0.059,0.33724
8AIL_CF,g156,39,4.15,0.000,0.35064
8AIL_CF,g158,27,2.46,0.074,0.35249
8AIL_CF,g160,45,3.53,0.156,0.37149
8AIL_CF,g162,32,3.06,0.125,0.36943
8AIL_CF,g163,26,1.98,0.077,0.35287
8AIL_CF,g164,42,3.80,0.048,0.33804
8AIL_CF,g165,27,2.01,0.037,0.37150
8AIL_CF,g166,18,2.45,0.056,0.26644
8AIL_CF,g167,34,3.43,0.088,0.37621
8AIL_CF,g169,28,2.98,0.000,0.31113
8AIL_CF,g170,46,3.70,0.087,0.40127
8AIL_CF,g171,39,3.76,0.103,0.37156
8AIL_CF,g172,36,3.34,0.111,0.37630
8AIL_CF,g173,37,2.74,0.081,0.43525
8AIL_CF,g174,31,2.71,0.129,0.38026
8AIL_CF,g176,35,4.03,0.057,0.31093
8AIL_CF,g177,36,2.67,0.056,0.40576
8AIL_CF,g178,38,4.13,0.105,0.35558
8AIL_CF,g179,41,3.81,0.049,0.36693
8AIL_CF,g180,25,2.04,0.120,0.35008
8AIL_CF,g181,22,2.51,0.091,0.26233
8AIL_CF,g187,34,3.65,0.118,0.37378
8AIL_CF,g188,18,1.81,0.056,0.27507
8AIL_CF,g189,30,3.55,0.167,0.29521
8AIL_CF,g190,43,3.49,0.093,0.37621
8AIL_CF,g191,32,3.07,0.062,0.31455
8AIL_CF,g192,33,3.63,0.061,0.30333
8AIL_CF,g194,42,3.71,0.048,0.34923
8AIL_CF,g195,47,4.18,0.128,0.34396
8AIL_CF,g196,42,3.25,0.095,0.42283
8AIL_CF,g197,48,3.45,0.146,0.44792
8AIL_CF,g199,30,2.68,0.067,0.39680
8AIL_CF,g201,20,2.62,0.100,0.28035
8AIL_CF,g202,32,2.69,0.000,0.34332
8AIL_CF,g203,38,3.33,0.105,0.35598
8AIL_CF,g204,37,3.26,0.027,0.38370
8AIL_CF,g205,36,3.11,0.056,0.35068
8AIL_CF,g206,35,3.49,0.086,0.32528
8AIL_CF,g207,45,3.64,0.044,0.45915
8AIL_CF,g208,38,3.42,0.026,0.34533
8AIL_CF,g210,32,3.17,0.094,0.29608
8AIL_CF,g211,35,3.84,0.086,0.34108
8AIL_CF,g212,30,2.35,0.167,0.39283
8AIL_CF,g213,46,3.72,0.087,0.38104
8AIL_CF,g214,37,3.17,0.243,0.42283
8AIL_CF,g215,30,2.67,0.033,0.35091
8AIL_CF,g216,38,2.97,0.132,0.39947
8AIL_CF,g217,20,2.40,0.050,0.27817
8AIL_CF,g218,31,3.33,0.065,0.33760
8AIL_CF,g219,38,3.29,0.079,0.42534
8AIL_CF,g224,30,3.57,0.100,0.33185
8AIL_CF,g225,34,3.90,0.147,0.33874
8AIL_CF,g227,39,3.69,0.128,0.36761
8AIL_CF,g228,47,3.01,0.149,0.52103
8AIL_CF,g229,33,3.54,0.061,0.35587
8AIL_CF,g230,36,3.56,0.139,0.36473
8AIL_CF,g231,41,3.91,0.049,0.33296
8AIL_CF,g232,19,2.23,0.053,0.27902
8AIL_CF,g233,40,2.92,0.050,0.42585
8AIL_CF,g234,34,3.21,0.059,0.38286
8AIL_CF,g235,25,2.51,0.080,0.30977
8AIL_CF,g236,25,3.33,0.080,0.26444
8AIL_CF,g237,42,3.90,0.071,0.39232
8AIL_CF,g239,40,3.27,0.100,0.43648
8AIL_CF,g240,31,3.13,0.097,0.34496
8AIL_CF,g241,35,3.23,0.086,0.38591
8AIL_CF,g242,28,2.79,0.036,0.35236
8AIL_CF,g243,38,3.50,0.105,0.32682
8AIL_CF,g244,27,3.79,0.037,0.31450
8AIL_CF,g246,46,3.95,0.065,0.43307
8AIL_CF,g247,41,3.82,0.049,0.36050
8AIL_CF,g250,38,3.10,0.105,0.44897
8AIL_CF,g251,51,3.11,0.078,0.52780
8AIL_CF,g252,48,2.96,0.083,0.55684
8AIL_CF,g253,36,3.41,0.056,0.35195
8AIL_CF,g261,31,3.01,0.000,0.37491
8AIL_CF,g262,31,2.75,0.065,0.34223
8AIL_CF,g263,27,2.64,0.111,0.35352
8AIL_CF,g264,35,3.85,0.029,0.32451
8AIL_CF,g265,26,2.91,0.192,0.32549
8AIL_CF,g266,32,2.92,0.031,0.31699
8AIL_CF,g267,46,3.56,0.043,0.47015
8AIL_CF,g269,37,3.75,0.081,0.31093
8AIL_CF,g270,40,2.60,0.050,0.43135
8AIL_CF,g271,41,3.26,0.122,0.38405
8AIL_CF,g272,43,3.86,0.023,0.37577
8AIL_CF,g273,32,2.56,0.156,0.36403
8AIL_CF,g274,44,3.52,0.091,0.42218
8AIL_CF,g275,43,3.89,0.047,0.41441
8AIL_CF,g276,31,3.31,0.226,0.34398
8AIL_CF,g277,38,3.26,0.105,0.40548
8AIL_CF,g278,36,4.18,0.111,0.35693
8AIL_CF,g279,46,3.20,0.043,0.44654
8AIL_CF,g280,39,3.51,0.077,0.37792
8AIL_CF,g281,39,2.85,0.103,0.42846
8AIL_CF,g282,40,2.96,0.025,0.40555
8AIL_CF,g283,44,3.76,0.114,0.37005
8AIL_CF,g284,42,3.19,0.119,0.41127
8AIL_CF,g285,38,4.02,0.053,0.31765
8AIL_CF,g286,47,4.26,0.128,0.36296
8AIL_CF,g287,30,2.85,0.067,0.39905
8AIL_CF,g289,33,3.38,0.030,0.35935
8AIL_CF,g290,33,3.29,0.030,0.31747
8AIL_CF,g291,32,3.44,0.031,0.31831
8AIL_CF,g292,26,2.55,0.115,0.35379
8AIL_CF,g293,32,3.15,0.031,0.38354
8AIL_CF,g296,50,2.80,0.120,0.56244
8AIL_CF,g297,37,3.39,0.108,0.35132
8AIL_CF,g298,25,2.59,0.240,0.38019
8AIL_CF,g299,37,3.35,0.054,0.34542
8AIL_CF,g300,44,3.34,0.091,0.44130
8AIL_CF,g301,33,2.85,0.152,0.39094
8AIL_CF,g302,31,3.36,0.097,0.34813
8AIL_CF,g303,34,2.53,0.118,0.38188
8AIL_CF,g304,36,2.94,0.194,0.40887
8AIL_CF,g305,44,3.79,0.023,0.40621
8AIL_CF,g306,28,2.61,0.071,0.34363
8AIL_CF,g307,47,3.01,0.085,0.48577
8AIL_CF,g308,22,3.06,0.000,0.27396
8AIL_CF,g309,39,3.54,0.077,0.34999
8AIL_CF,g311,42,4.11,0.071,0.39478
8AIL_CF,g312,19,2.95,0.158,0.26187
8AIL_CF,g313,42,4.05,0.119,0.35014
8AIL_CF,g314,38,3.71,0.079,0.34018
8AIL_CF,g315,20,2.93,0.050,0.27310
8AIL_CF,g316,46,2.81,0.087,0.51447
8AIL_CF,g317,33,2.99,0.061,0.32035
8AIL_CF,g326,41,3.10,0.098,0.48931
8AIL_CF,g328,33,2.46,0.121,0.41762
8AIL_CF,g329,44,3.37,0.136,0.45233
8AIL_CF,g331,34,3.34,0.029,0.37951
8AIL_CF,g332,29,3.51,0.034,0.30495
8AIL_CF,g333,44,3.74,0.091,0.37312
8AIL_CF,g334,40,3.57,0.100,0.39024
8AIL_CF,g335,30,3.49,0.033,0.32709
8AIL_CF,g336,42,4.29,0.024,0.35859
8AIL_CF,g337,42,3.31,0.071,0.38972
8AIM_A,g006,40,4.33,0.075,0.28026
8AIM_A,g014,28,3.77,0.071,0.21411
8AIM_A,g045,51,4.57,0.059,0.31351
8AIM_A,g047,51,4.41,0.020,0.32967
8AIM_A,g048,41,3.83,0.098,0.27618
8AIM_A,g049,49,3.80,0.102,0.34658
8AIM_A,g055,52,3.90,0.096,0.35525
8AIM_A,g056,68,5.21,0.103,0.33225
8AIM_A,g057,46,3.21,0.130,0.38375
8AIM_A,g059,51,3.24,0.059,0.37305
8AIM_A,g060,54,3.89,0.074,0.40150
8AIM_A,g061,52,3.54,0.058,0.40435
8AIM_A,g062,32,3.07,0.031,0.27406
8AIM_A,g064,44,3.72,0.091,0.32862
8AIM_A,g065,36,4.23,0.056,0.23108
8AIM_A,g067,15,1.19,0.200,0.16311
8AIM_A,g068,48,4.04,0.042,0.33913
8AIM_A,g069,52,4.53,0.135,0.28821
8AIM_A,g070,72,4.61,0.056,0.39560
8AIM_A,g071,50,3.39,0.080,0.38508
8AIM_A,g072,60,4.74,0.100,0.36513
8AIM_A,g076,51,3.47,0.118,0.40576
8AIM_A,g077,45,3.61,0.111,0.31217
8AIM_A,g078,51,3.02,0.118,0.39794
8AIM_A,g079,73,5.39,0.041,0.33951
8AIM_A,g082,51,3.41,0.039,0.40481
8AIM_A,g084,66,4.64,0.106,0.37174
8AIM_A,g085,59,4.32,0.119,0.39111
8AIM_A,g086,52,4.78,0.058,0.33547
8AIM_A,g087,64,5.14,0.078,0.30981
8AIM_A,g089,66,4.97,0.091,0.35235
8AIM_A,g092,43,3.92,0.047,0.28525
8AIM_A,g093,54,3.74,0.093,0.37193
8AIM_A,g094,47,4.34,0.149,0.27838
8AIM_A,g095,57,4.99,0.070,0.30428
8AIM_A,g096,61,4.94,0.098,0.33739
8AIM_A,g097,43,4.18,0.070,0.27979
8AIM_A,g098,52,3.65,0.058,0.36877
8AIM_A,g100,73,3.98,0.082,0.47590
8AIM_A,g101,49,5.16,0.041,0.26059
8AIM_A,g102,55,4.71,0.109,0.30668
8AIM_A,g103,61,4.65,0.016,0.32564
8AIM_A,g106,15,1.19,0.067,0.16309
8AIM_A,g107,44,4.27,0.114,0.25286
8AIM_A,g112,49,3.61,0.061,0.34415
8AIM_A,g117,15,1.17,0.200,0.16193
8AIM_A,g119,49,4.26,0.041,0.33220
8AIM_A,g121,45,3.64,0.067,0.34315
8AIM_A,g122,57,3.71,0.053,0.38787
8AIM_A,g124,44,3.62,0.068,0.31050
8AIM_A,g128,69,4.72,0.087,0.38681
8AIM_A,g130,38,4.12,0.053,0.23496
8AIM_A,g131,37,3.30,0.000,0.29098
8AIM_A,g132,51,3.57,0.059,0.35134
8AIM_A,g133,52,4.95,0.115,0.27453
8AIM_A,g134,40,3.90,0.050,0.29085
8AIM_A,g135,58,3.76,0.103,0.39923
8AIM_A,g142,54,3.55,0.056,0.38549
8AIM_A,g143,52,3.76,0.038,0.37785
8AIM_A,g144,38,3.11,0.026,0.30632
8AIM_A,g145,49,4.19,0.102,0.36536
8AIM_A,g146,34,2.80,0.176,0.27157
8AIM_A,g147,54,4.60,0.019,0.32616
8AIM_A,g149,60,4.13,0.150,0.37141
8AIM_A,g150,64,4.98,0.047,0.33219
8AIM_A,g151,54,3.69,0.037,0.40559
8AIM_A,g153,42,4.54,0.095,0.24810
8AIM_A,g154,56,4.27,0.071,0.37690
8AIM_A,g155,38,4.45,0.026,0.25858
8AIM_A,g156,47,4.13,0.043,0.30847
8AIM_A,g158,44,3.20,0.159,0.30848
8AIM_A,g160,63,4.76,0.063,0.32850
8AIM_A,g162,41,3.88,0.024,0.30129
8AIM_A,g163,45,4.51,0.067,0.27149
8AIM_A,g164,52,4.55,0.096,0.30123
8AIM_A,g165,22,2.78,0.136,0.18838
8AIM_A,g166,14,0.55,0.143,0.15881
8AIM_A,g167,53,4.14,0.075,0.36887
8AIM_A,g169,44,4.24,0.136,0.30927
8AIM_A,g170,48,3.85,0.104,0.32328
8AIM_A,g171,54,3.52,0.130,0.41773
8AIM_A,g172,35,3.83,0.086,0.23413
8AIM_A,g173,53,4.44,0.075,0.34064
8AIM_A,g174,49,4.30,0.163,0.28654
8AIM_A,g176,67,3.36,0.090,0.51901
8AIM_A,g177,51,4.57,0.098,0.29104
8AIM_A,g178,60,4.34,0.067,0.35726
8AIM_A,g179,55,3.62,0.073,0.41341
8AIM_A,g180,15,0.96,0.200,0.16355
8AIM_A,g181,25,3.01,0.120,0.20343
8AIM_A,g187,54,4.51,0.056,0.31781
8AIM_A,g188,15,0.92,0.067,0.16423
8AIM_A,g189,38,3.26,0.000,0.29177
8AIM_A,g190,49,4.37,0.163,0.29286
8AIM_A,g191,54,3.54,0.037,0.37824
8AIM_A,g192,36,3.91,0.056,0.25266
8AIM_A,g194,79,4.23,0.101,0.50423
8AIM_A,g195,67,4.85,0.090,0.34754
8AIM_A,g196,75,4.83,0.080,0.40050
8AIM_A,g197,51,4.54,0.039,0.31573
8AIM_A,g199,52,3.94,0.115,0.33117
8AIM_A,g201,21,3.31,0.048,0.16896
8AIM_A,g202,50,4.68,0.100,0.29861
8AIM_A,g203,58,5.16,0.034,0.28583
8AIM_A,g204,71,4.30,0.056,0.43356
8AIM_A,g205,43,3.67,0.093,0.30808
8AIM_A,g206,59,4.37,0.068,0.35741
8AIM_A,g207,55,3.31,0.055,0.41923
8AIM_A,g208,68,4.39,0.103,0.39872
8AIM_A,g210,46,3.79,0.130,0.30682
8AIM_A,g211,73,4.38,0.082,0.43841
8AIM_A,g212,46,3.65,0.087,0.33875
8AIM_A,g213,53,4.22,0.057,0.31649
8AIM_A,g214,50,3.89,0.080,0.32045
8AIM_A,g215,43,3.93,0.093,0.27879
8AIM_A,g216,46,3.82,0.043,0.30918
8AIM_A,g217,15,1.18,0.067,0.16291
8AIM_A,g218,42,2.76,0.119,0.33991
8AIM_A,g219,58,4.86,0.052,0.32463
8AIM_A,g224,41,3.45,0.024,0.32435
8AIM_A,g225,47,4.58,0.191,0.28299
8AIM_A,g227,49,3.48,0.102,0.35685
8AIM_A,g228,46,3.99,0.065,0.31156
8AIM_A,g229,37,3.71,0.081,0.26804
8AIM_A,g230,63,4.36,0.048,0.39037
8AIM_A,g231,49,4.11,0.041,0.29852
8AIM_A,g232,16,2.07,0.125,0.15873
8AIM_A,g233,66,5.03,0.061,0.35177
8AIM_A,g234,52,4.46,0.058,0.32318
8AIM_A,g235,32,3.64,0.031,0.21667
8AIM_A,g236,24,3.60,0.083,0.20293
8AIM_A,g237,60,4.90,0.067,0.30774
8AIM_A,g239,39,3.37,0.077,0.30086
8AIM_A,g240,55,3.27,0.073,0.42028
8AIM_A,g241,67,4.65,0.030,0.37278
8AIM_A,g242,29,3.76,0.172,0.19480
8AIM_A,g243,56,4.22,0.071,0.35469
